CVE-2005-3660: Fix unknown
CVE-2007-3719: Fix unknown
CVE-2008-2544: Fix unknown
CVE-2008-4609: Fix unknown
CVE-2010-4563: Fix unknown
CVE-2010-5321: Fix unknown
CVE-2011-4917: Fix unknown
CVE-2012-4542: Fix unknown
CVE-2019-2181: Fix not seen in stream
CVE-2019-2213: Fix not seen in stream
CVE-2019-2215: Fixed with 4.4.196
CVE-2019-3459: Fixed with 4.4.178
CVE-2019-3460: Fixed with 4.4.178
CVE-2019-3701: Fixed with 4.4.172
CVE-2019-3846: Fixed with 4.4.186
CVE-2019-3874: Fix not seen in stream
CVE-2019-3882: Fixed with 4.4.180
CVE-2019-3892: Fixed with 4.4.183
CVE-2019-3900: Fixed with 4.4.191
CVE-2019-3901: Fixed with 4.4.12
CVE-2019-5108: Fixed with 4.4.211
CVE-2019-5489: Fix not seen in stream
CVE-2019-6133: Fixed with 4.4.170
CVE-2019-6974: Fixed with 4.4.176
CVE-2019-7221: Fixed with 4.4.175
CVE-2019-7222: Fixed with 4.4.175
CVE-2019-7308: Fix not seen in stream
CVE-2019-9213: Fixed with 4.4.177
CVE-2019-9445: Fixed with 4.4.233
CVE-2019-9453: Fix not seen in stream
CVE-2019-9454: Fixed with 4.4.179
CVE-2019-9455: Fixed with 4.4.177
CVE-2019-9456: Fixed with 4.4.122
CVE-2019-9457: Fixed with 4.4.78
CVE-2019-9458: Fixed with 4.4.160
CVE-2019-9466: Fixed with 4.4.181
CVE-2019-9503: Fixed with 4.4.181
CVE-2019-9506: Fixed with 4.4.185
CVE-2020-0009: Fixed with 4.4.215
CVE-2020-0030: Fixed with 4.4.196
CVE-2020-0067: Fix not seen in stream
CVE-2020-0255: Fixed with 4.4.222
CVE-2020-0305: Fixed with 4.4.210
CVE-2020-0347: Fix unknown
CVE-2020-0404: Fixed with 4.4.214
CVE-2020-0427: Fixed with 4.4.244
CVE-2020-0429: Fixed with 4.4.219
CVE-2020-0431: Fixed with 4.4.210
CVE-2020-0432: Fixed with 4.4.213
CVE-2020-0433: Fixed with 4.4.224
CVE-2020-0435: Fix not seen in stream
CVE-2020-0444: Fixed with 4.4.216
CVE-2020-0465: Fixed with 4.4.236
CVE-2020-0466: Fixed with 4.4.234
CVE-2020-0543: Fixed with 4.4.227
CVE-2020-10135: Fixed with 4.4.240
CVE-2020-10690: Fixed with 4.4.224
CVE-2020-10708: Fix unknown
CVE-2020-10711: Fixed with 4.4.224
CVE-2020-10720: Fixed with 4.4.181
CVE-2020-10732: Fixed with 4.4.226
CVE-2020-10751: Fixed with 4.4.222
CVE-2020-10766: Fixed with 4.4.228
CVE-2020-10767: Fixed with 4.4.228
CVE-2020-10768: Fixed with 4.4.228
CVE-2020-10769: Fixed with 4.4.172
CVE-2020-10773: Fixed with 4.4.199
CVE-2020-10942: Fixed with 4.4.218
CVE-2020-11494: Fixed with 4.4.219
CVE-2020-11565: Fixed with 4.4.219
CVE-2020-11608: Fixed with 4.4.218
CVE-2020-11609: Fixed with 4.4.218
CVE-2020-11668: Fixed with 4.4.218
CVE-2020-11669: Fix not seen in stream
CVE-2020-11725: Fix unknown
CVE-2020-12114: Fixed with 4.4.221
CVE-2020-12352: Fixed with 4.4.240
CVE-2020-12362: Fix not seen in stream
CVE-2020-12363: Fix not seen in stream
CVE-2020-12364: Fix not seen in stream
CVE-2020-12464: Fixed with 4.4.221
CVE-2020-12652: Fixed with 4.4.211
CVE-2020-12653: Fixed with 4.4.214
CVE-2020-12654: Fixed with 4.4.214
CVE-2020-12655: Fix not seen in stream
CVE-2020-12656: Fix not seen in stream
CVE-2020-12769: Fixed with 4.4.224
CVE-2020-12770: Fixed with 4.4.224
CVE-2020-12771: Fixed with 4.4.229
CVE-2020-12826: Fixed with 4.4.220
CVE-2020-12888: Fix not seen in stream
CVE-2020-13143: Fixed with 4.4.224
CVE-2020-13974: Fixed with 4.4.227
CVE-2020-14304: Fix unknown
CVE-2020-14305: Fix not seen in stream
CVE-2020-14314: Fixed with 4.4.234
CVE-2020-14331: Fixed with 4.4.233
CVE-2020-14351: Fixed with 4.4.244
CVE-2020-14353: Fixed with 4.4.90
CVE-2020-14381: Fixed with 4.4.218
CVE-2020-14390: Fixed with 4.4.237
CVE-2020-14416: Fixed with 4.4.212
CVE-2020-15393: Fixed with 4.4.230
CVE-2020-15436: Fixed with 4.4.229
CVE-2020-15437: Fixed with 4.4.232
CVE-2020-15802: Fix unknown
CVE-2020-16120: Fix not seen in stream
CVE-2020-16166: Fixed with 4.4.233
CVE-2020-1749: Fixed with 4.4.224
CVE-2020-24502: Fix unknown
CVE-2020-24503: Fix unknown
CVE-2020-24586: Fixed with 4.4.271
CVE-2020-24587: Fixed with 4.4.271
CVE-2020-24588: Fixed with 4.4.271
CVE-2020-25211: Fixed with 4.4.239
CVE-2020-25212: Fixed with 4.4.233
CVE-2020-25284: Fixed with 4.4.237
CVE-2020-25285: Fixed with 4.4.236
CVE-2020-25643: Fixed with 4.4.238
CVE-2020-25645: Fixed with 4.4.244
CVE-2020-25656: Fixed with 4.4.242
CVE-2020-25668: Fixed with 4.4.242
CVE-2020-25669: Fixed with 4.4.245
CVE-2020-25670: Fixed with 4.4.267
CVE-2020-25671: Fixed with 4.4.267
CVE-2020-25672: Fixed with 4.4.267
CVE-2020-25673: Fixed with 4.4.267
CVE-2020-25705: Fixed with 4.4.241
CVE-2020-26088: Fixed with 4.4.233
CVE-2020-26139: Fixed with 4.4.271
CVE-2020-26140: Fix unknown
CVE-2020-26141: Fix not seen in stream
CVE-2020-26142: Fix unknown
CVE-2020-26143: Fix unknown
CVE-2020-26145: Fix not seen in stream
CVE-2020-26147: Fixed with 4.4.271
CVE-2020-26541: Fix not seen in stream
CVE-2020-26555: Fix unknown
CVE-2020-26556: Fix unknown
CVE-2020-26557: Fix unknown
CVE-2020-26558: Fixed with 4.4.270
CVE-2020-26559: Fix unknown
CVE-2020-26560: Fix unknown
CVE-2020-27066: Fixed with 4.4.218
CVE-2020-27067: Fixed with 4.4.225
CVE-2020-27068: Fixed with 4.4.216
CVE-2020-2732: Fixed with 4.4.215
CVE-2020-27673: Fixed with 4.4.244
CVE-2020-27675: Fixed with 4.4.244
CVE-2020-27777: Fix not seen in stream
CVE-2020-27786: Fixed with 4.4.224
CVE-2020-27815: Fixed with 4.4.249
CVE-2020-27820: Fix not seen in stream
CVE-2020-27825: Fixed with 4.4.254
CVE-2020-28097: Fixed with 4.4.237
CVE-2020-28374: Fixed with 4.4.252
CVE-2020-28915: Fixed with 4.4.239
CVE-2020-28974: Fixed with 4.4.242
CVE-2020-29370: Fixed with 4.4.217
CVE-2020-29371: Fixed with 4.4.234
CVE-2020-29374: Fixed with 4.4.289
CVE-2020-29568: Fixed with 4.4.249
CVE-2020-29660: Fixed with 4.4.248
CVE-2020-29661: Fixed with 4.4.248
CVE-2020-35501: Fix unknown
CVE-2020-35508: Fixed with 4.4.242
CVE-2020-35519: Fixed with 4.4.248
CVE-2020-36158: Fixed with 4.4.250
CVE-2020-36310: Fix not seen in stream
CVE-2020-36313: Fix not seen in stream
CVE-2020-36322: Fix not seen in stream
CVE-2020-36385: Fix not seen in stream
CVE-2020-36386: Fixed with 4.4.233
CVE-2020-36516: Fix unknown
CVE-2020-3702: Fixed with 4.4.284
CVE-2020-4788: Fixed with 4.4.245
CVE-2020-8647: Fixed with 4.4.216
CVE-2020-8648: Fixed with 4.4.216
CVE-2020-8649: Fixed with 4.4.216
CVE-2020-8694: Fixed with 4.4.243
CVE-2020-8832: Fix not seen in stream
CVE-2020-9383: Fixed with 4.4.215
CVE-2021-0129: Fixed with 4.4.270
CVE-2021-0399: Fix unknown
CVE-2021-0447: Fixed with 4.4.225
CVE-2021-0448: Fixed with 4.4.239
CVE-2021-0512: Fixed with 4.4.259
CVE-2021-0605: Fixed with 4.4.238
CVE-2021-0695: Fix unknown
CVE-2021-0707: Fix not seen in stream
CVE-2021-0920: Fixed with 4.4.278
CVE-2021-0929: Fix not seen in stream
CVE-2021-0937: Fixed with 4.4.267
CVE-2021-0941: Fix not seen in stream
CVE-2021-1048: Fixed with 4.4.236
CVE-2021-20261: Fixed with 4.4.262
CVE-2021-20265: Fixed with 4.4.4
CVE-2021-20292: Fix not seen in stream
CVE-2021-20317: Fix not seen in stream
CVE-2021-20320: Fixed with 4.4.285
CVE-2021-20321: Fixed with 4.4.290
CVE-2021-21781: Fixed with 4.4.278
CVE-2021-22543: Fix not seen in stream
CVE-2021-22555: Fixed with 4.4.267
CVE-2021-26401: Fix not seen in stream
CVE-2021-26930: Fixed with 4.4.258
CVE-2021-26931: Fixed with 4.4.258
CVE-2021-26932: Fixed with 4.4.258
CVE-2021-27363: Fixed with 4.4.260
CVE-2021-27364: Fixed with 4.4.260
CVE-2021-27365: Fixed with 4.4.260
CVE-2021-28038: Fixed with 4.4.260
CVE-2021-28660: Fixed with 4.4.262
CVE-2021-28688: Fixed with 4.4.264
CVE-2021-28711: Fixed with 4.4.296
CVE-2021-28712: Fixed with 4.4.296
CVE-2021-28713: Fixed with 4.4.296
CVE-2021-28714: Fix not seen in stream
CVE-2021-28715: Fixed with 4.4.296
CVE-2021-28951: Fix not seen in stream
CVE-2021-28964: Fixed with 4.4.263
CVE-2021-28972: Fixed with 4.4.263
CVE-2021-29154: Fixed with 4.4.266
CVE-2021-29155: Fix not seen in stream
CVE-2021-29265: Fixed with 4.4.262
CVE-2021-29650: Fixed with 4.4.271
CVE-2021-30002: Fixed with 4.4.260
CVE-2021-3178: Fixed with 4.4.253
CVE-2021-31916: Fixed with 4.4.269
CVE-2021-32078: Fix not seen in stream
CVE-2021-32399: Fixed with 4.4.271
CVE-2021-33034: Fixed with 4.4.269
CVE-2021-33061: Fix not seen in stream
CVE-2021-33098: Fix not seen in stream
CVE-2021-33909: Fixed with 4.4.276
CVE-2021-34556: Fix not seen in stream
CVE-2021-34693: Fixed with 4.4.274
CVE-2021-3483: Fixed with 4.4.265
CVE-2021-34981: Fixed with 4.4.271
CVE-2021-3506: Fix not seen in stream
CVE-2021-3542: Fix unknown
CVE-2021-35477: Fix not seen in stream
CVE-2021-3564: Fixed with 4.4.272
CVE-2021-3573: Fixed with 4.4.272
CVE-2021-3587: Fixed with 4.4.272
CVE-2021-3609: Fixed with 4.4.276
CVE-2021-3612: Fixed with 4.4.259
CVE-2021-3640: Fixed with 4.4.293
CVE-2021-3653: Fixed with 4.4.282
CVE-2021-3655: Fixed with 4.4.285
CVE-2021-3659: Fixed with 4.4.267
CVE-2021-3669: Fix not seen in stream
CVE-2021-3679: Fixed with 4.4.277
CVE-2021-3714: Fix unknown
CVE-2021-3715: Fixed with 4.4.218
CVE-2021-37159: Fixed with 4.4.292
CVE-2021-3732: Fixed with 4.4.281
CVE-2021-3752: Fixed with 4.4.293
CVE-2021-3753: Fixed with 4.4.283
CVE-2021-37576: Fixed with 4.4.277
CVE-2021-3760: Fixed with 4.4.290
CVE-2021-3772: Fixed with 4.4.291
CVE-2021-38160: Fixed with 4.4.276
CVE-2021-38198: Fix not seen in stream
CVE-2021-38204: Fixed with 4.4.277
CVE-2021-38205: Fixed with 4.4.281
CVE-2021-38208: Fixed with 4.4.272
CVE-2021-38300: Fix not seen in stream
CVE-2021-3847: Fix unknown
CVE-2021-3864: Fix unknown
CVE-2021-3892: Fix unknown
CVE-2021-3894: Fix not seen in stream
CVE-2021-3896: Fixed with 4.4.290
CVE-2021-39633: Fix not seen in stream
CVE-2021-39634: Fixed with 4.4.239
CVE-2021-39636: Fix not seen in stream
CVE-2021-39648: Fix not seen in stream
CVE-2021-39657: Fixed with 4.4.254
CVE-2021-39685: Fixed with 4.4.295
CVE-2021-39686: Fixed with 4.4.293
CVE-2021-39698: Fixed with 4.4.295
CVE-2021-39711: Fix not seen in stream
CVE-2021-39713: Fix not seen in stream
CVE-2021-39714: Fix not seen in stream
CVE-2021-39800: Fix unknown
CVE-2021-39801: Fix unknown
CVE-2021-39802: Fix unknown
CVE-2021-4002: Fixed with 4.4.294
CVE-2021-4023: Fix not seen in stream
CVE-2021-4037: Fix not seen in stream
CVE-2021-40490: Fixed with 4.4.284
CVE-2021-4083: Fixed with 4.4.294
CVE-2021-4148: Fix not seen in stream
CVE-2021-4149: Fix not seen in stream
CVE-2021-4150: Fix not seen in stream
CVE-2021-4155: Fixed with 4.4.299
CVE-2021-4157: Fixed with 4.4.269
CVE-2021-4159: Fix not seen in stream
CVE-2021-4197: Fix not seen in stream
CVE-2021-42008: Fixed with 4.4.282
CVE-2021-4202: Fixed with 4.4.293
CVE-2021-4203: Fixed with 4.4.288
CVE-2021-4218: Fix not seen in stream
CVE-2021-42739: Fix not seen in stream
CVE-2021-43389: Fixed with 4.4.290
CVE-2021-43975: Fix not seen in stream
CVE-2021-43976: Fixed with 4.4.300
CVE-2021-44879: Fix not seen in stream
CVE-2021-45095: Fixed with 4.4.299
CVE-2021-45469: Fix not seen in stream
CVE-2021-45485: Fixed with 4.4.276
CVE-2021-45486: Fixed with 4.4.274
CVE-2021-45868: Fixed with 4.4.293
CVE-2022-0001: Fix not seen in stream
CVE-2022-0002: Fix not seen in stream
CVE-2022-0168: Fix not seen in stream
CVE-2022-0171: Fix unknown
CVE-2022-0330: Fixed with 4.4.301
CVE-2022-0382: Fix not seen in stream
CVE-2022-0400: Fix unknown
CVE-2022-0480: Fix not seen in stream
CVE-2022-0487: Fix not seen in stream
CVE-2022-0492: Fix not seen in stream
CVE-2022-0494: Fix not seen in stream
CVE-2022-0500: Fix not seen in stream
CVE-2022-0617: Fixed with 4.4.302
CVE-2022-0644: Fix not seen in stream
CVE-2022-0742: Fix not seen in stream
CVE-2022-0812: Fix not seen in stream
CVE-2022-0850: Fixed with 4.4.276
CVE-2022-0854: Fix not seen in stream
CVE-2022-0995: Fix not seen in stream
CVE-2022-0998: Fix not seen in stream
CVE-2022-1011: Fix not seen in stream
CVE-2022-1012: Fix not seen in stream
CVE-2022-1015: Fix not seen in stream
CVE-2022-1016: Fix not seen in stream
CVE-2022-1043: Fix not seen in stream
CVE-2022-1048: Fix not seen in stream
CVE-2022-1055: Fix not seen in stream
CVE-2022-1116: Fix unknown
CVE-2022-1158: Fix not seen in stream
CVE-2022-1184: Fix unknown
CVE-2022-1195: Fixed with 4.4.297
CVE-2022-1198: Fix not seen in stream
CVE-2022-1199: Fix not seen in stream
CVE-2022-1204: Fix not seen in stream
CVE-2022-1205: Fix not seen in stream
CVE-2022-1247: Fix unknown
CVE-2022-1263: Fix not seen in stream
CVE-2022-1280: Fix not seen in stream
CVE-2022-1353: Fix not seen in stream
CVE-2022-1419: Fix not seen in stream
CVE-2022-1508: Fix not seen in stream
CVE-2022-1516: Fix not seen in stream
CVE-2022-1651: Fix not seen in stream
CVE-2022-1652: Fix unknown
CVE-2022-1671: Fix not seen in stream
CVE-2022-1679: Fix unknown
CVE-2022-1734: Fix not seen in stream
CVE-2022-20008: Fix not seen in stream
CVE-2022-23036: Fix not seen in stream
CVE-2022-23037: Fix not seen in stream
CVE-2022-23038: Fix not seen in stream
CVE-2022-23039: Fix not seen in stream
CVE-2022-23040: Fix not seen in stream
CVE-2022-23041: Fix not seen in stream
CVE-2022-23042: Fix not seen in stream
CVE-2022-23222: Fix not seen in stream
CVE-2022-23960: Fix not seen in stream
CVE-2022-24448: Fix not seen in stream
CVE-2022-24958: Fix not seen in stream
CVE-2022-25258: Fix not seen in stream
CVE-2022-25265: Fix unknown
CVE-2022-25375: Fix not seen in stream
CVE-2022-25636: Fix not seen in stream
CVE-2022-26490: Fix not seen in stream
CVE-2022-26878: Fix unknown
CVE-2022-26966: Fix not seen in stream
CVE-2022-27223: Fix not seen in stream
CVE-2022-27950: Fix not seen in stream
CVE-2022-28356: Fix not seen in stream
CVE-2022-28388: Fix not seen in stream
CVE-2022-28389: Fix not seen in stream
CVE-2022-28390: Fix not seen in stream
CVE-2022-28796: Fix not seen in stream
CVE-2022-28893: Fix not seen in stream
CVE-2022-29156: Fix not seen in stream
CVE-2022-29581: Fix not seen in stream
CVE-2022-29582: Fix not seen in stream
CVE-2022-29968: Fix not seen in stream
CVE-2022-30594: Fix not seen in stream
